,weekNum,partNum,realCount,backorder,done,product_qty,date_planned,backorderStatus,netQty
1548,27,TS-1-01-23ACRES,0.0,False,False,,,,
1549,27,SFTY-1-02-30,0.0,False,False,,,,
1550,27,SFTY-1-02-31,0.0,False,False,,,,
1551,27,SFTY-1-01-70,0.0,False,False,,,,
1552,27,SFTY-1-01-80,0.0,False,False,,,,
1553,27,SFTY-1-01-64,0.0,False,False,,,,
1554,27,SFTY-1-01-64,0.0,False,False,,,,
1555,27,SFTY-1-01-60,0.0,False,False,,,,
1556,27,SFTY-1-01-61,0.0,False,False,,,,
1557,27,SFTY-1-01-62,0.0,False,False,,,,
1558,27,SFTY-1-01-63,0.0,False,False,,,,
1559,27,FT-1-01-NFV3A,0.0,False,False,,,,
1560,27,FT-1-01-N3AS,0.0,False,False,,,,
1561,27,False,0.0,False,False,,,,
1562,27,False,0.0,False,False,,,,
1563,27,False,0.0,False,False,,,,
1564,27,False,0.0,False,False,,,,
1565,27,False,0.0,False,False,,,,
1566,27,False,0.0,False,False,,,,
1567,27,False,0.0,False,False,,,,
1568,27,False,0.0,False,False,,,,
1569,27,False,0.0,False,False,,,,
1570,27,False,0.0,False,False,,,,
1571,27,False,0.0,False,False,,,,
1572,27,False,0.0,False,False,,,,
1573,27,False,0.0,False,False,,,,
1574,28,False,0.0,False,False,,,,
1575,28,DET-1-01-650CON,0.0,False,False,,,,
1576,28,PS-1-02-HV600W,0.0,False,False,,,,
1577,28,ELEC-1-ACHEAT-01-4000,0.0,False,False,,,,
1578,28,SFTY-1-02-30,0.0,False,False,,,,
1579,28,SFTY-1-02-30,0.0,False,False,,,,
1580,28,SFTY-1-02-31,0.0,False,False,,,,
1581,28,SFTY-1-02-31,0.0,False,False,,,,
1582,28,TS-1-01-23ACRES,0.0,False,False,,,,
1583,28,SFTY-1-01-70,0.0,False,False,,,,
1584,28,SFTY-1-01-80,0.0,False,False,,,,
1585,28,SFTY-1-01-64,0.0,False,False,,,,
1586,28,SFTY-1-01-64,0.0,False,False,,,,
1587,28,SFTY-1-01-60,0.0,False,False,,,,
1588,28,SFTY-1-01-61,0.0,False,False,,,,
1589,28,SFTY-1-01-62,0.0,False,False,,,,
1590,28,SFTY-1-01-63,0.0,False,False,,,,
1591,28,FT-1-01-NFV3A,0.0,False,False,,,,
1592,28,FT-1-01-N3AS,0.0,False,False,,,,
1593,28,False,0.0,False,False,,,,
1594,28,False,0.0,False,False,,,,
1595,28,False,0.0,False,False,,,,
1596,28,False,0.0,False,False,,,,
1597,28,False,0.0,False,False,,,,
1598,28,False,0.0,False,False,,,,
1599,28,False,0.0,False,False,,,,
1600,28,False,0.0,False,False,,,,
1601,28,False,0.0,False,False,,,,
1602,28,False,0.0,False,False,,,,
1603,28,False,0.0,False,False,,,,
1604,28,False,0.0,False,False,,,,
1605,28,False,0.0,False,False,,,,
1606,28,False,0.0,False,False,,,,
1607,20,False,0.0,False,False,,,,
1608,20,False,0.0,False,False,,,,
1609,20,False,0.0,False,False,,,,
1610,20,False,0.0,False,False,,,,
1611,20,TS-1-01-17ACRES,0.0,False,False,,,,
1612,20,TS-1-01-17ACRES,0.0,False,False,,,,
1613,20,FT-1-01-SF8T,0.0,False,False,,,,
1614,20,FT-1-01-SF8T,0.0,False,False,,,,
1615,20,False,0.0,False,False,,,,
1616,20,False,0.0,False,False,,,,
1617,20,False,0.0,False,False,,,,
1618,20,False,0.0,False,False,,,,
1619,9,False,0.0,False,True,6.0,2022-03-01 20:00:00,False,6.0
1620,9,False,0.0,False,False,6.0,2022-03-01 20:00:00,False,6.0
1621,25,TUBE-1-01-AC75801,0.0,True,True,6.0,2022-06-22 16:00:00,False,6.0
1622,39,TUBE-1-01-AC75801,1.0,True,True,,,,
1623,39,ELEC-1-ACHEAT-02-2000,0.0,True,True,,,,
1624,39,ELEC-1-RFID-RDR,0.0,True,True,,,,
1625,41,ELEC-1-ACHEAT-02-2000,0.0,True,True,,,,
1626,41,ELEC-1-ACHEAT-02-2000,0.0,True,True,,,,
1627,41,ELEC-1-ACHEAT-02-2000,1.0,True,True,,,,
1628,41,ELEC-1-ACHEAT-02-2000,0.0,True,True,,,,
1629,41,ELEC-1-ACHEAT-02-2000,0.0,True,True,,,,
1630,42,False,0.0,True,True,,,,
1631,42,False,0.0,True,True,,,,
1632,42,False,0.0,True,True,,,,
1633,42,False,0.0,True,True,,,,
1634,41,SFTY-1-02-11,0.0,True,True,,,,
1635,41,SFTY-1-02-11,0.0,True,True,,,,
1636,41,SFTY-1-02-11,0.0,True,True,,,,
1637,41,SFTY-1-02-11,0.0,True,True,,,,
1638,41,SFTY-1-02-11,2.0,True,True,,,,
1639,39,SFTY-1-02-11,0.0,True,True,,,,
1640,49,False,1.0,True,True,,,,
1641,49,False,0.0,True,False,,,,
1642,41,ELEC-1-RFID-RDR,1.0,True,True,,,,
1643,6,False,1.0,True,True,,,,
1644,6,False,1.0,True,True,,,,
1645,6,False,1.0,True,True,,,,
1646,4,False,1.0,True,False,,,,
1647,45,ELEC-1-ACHEAT-02-2000,1.0,True,True,,,,
1648,43,ELEC-1-ACHEAT-02-2000,1.0,True,True,,,,
1649,48,ELEC-1-ACHEAT-02-2000,1.0,True,True,,,,
1650,49,ELEC-1-ACHEAT-02-2000,0.0,True,False,,,,
1651,45,SFTY-1-02-11,2.0,True,True,,,,
1652,43,SFTY-1-02-11,2.0,True,True,,,,
1653,48,SFTY-1-02-11,2.0,True,True,,,,
1654,49,SFTY-1-02-11,2.0,True,False,,,,
1655,45,ELEC-1-RFID-RDR,1.0,True,True,,,,
1656,1,SFTY-1-02-10,0.0,True,False,,,,
1657,7,SFTY-1-02-10,0.0,True,False,,,,
1658,7,SFTY-1-02-10,0.0,True,False,,,,
1659,7,SFTY-1-02-10,0.0,True,False,,,,
1660,8,SFTY-1-02-10,0.0,True,False,,,,
1661,8,SFTY-1-02-10,0.0,True,False,,,,
1662,9,SFTY-1-02-10,0.0,False,False,,,,
1663,10,SFTY-1-02-10,0.0,False,False,,,,
1664,11,SFTY-1-02-10,0.0,False,False,,,,
1665,12,SFTY-1-02-10,0.0,False,False,,,,
1666,10,SFTY-1-02-11,0.0,False,False,,,,
1667,10,ELEC-1-ACHEAT-02-2000,0.0,False,False,,,,
1668,10,DET-1-01-350CON,0.0,False,False,,,,
1669,11,SFTY-1-02-11,0.0,False,False,,,,
1670,11,ELEC-1-ACHEAT-02-2000,0.0,False,False,,,,
1671,11,DET-1-01-350CON,0.0,False,False,,,,
1672,10,False,0.0,False,False,,,,
1673,10,False,0.0,False,False,,,,
1674,11,False,0.0,False,False,,,,
1675,11,False,0.0,False,False,,,,
1676,12,SFTY-1-02-11,0.0,False,False,,,,
1677,15,SFTY-1-02-11,0.0,False,False,,,,
1678,15,SFTY-1-02-11,0.0,False,False,,,,
1679,16,SFTY-1-02-11,0.0,False,False,,,,
1680,16,SFTY-1-02-11,0.0,False,False,,,,
1681,17,SFTY-1-02-11,0.0,False,False,,,,
1682,17,SFTY-1-02-11,0.0,False,False,,,,
1683,18,SFTY-1-02-11,0.0,False,False,,,,
1684,18,SFTY-1-02-11,0.0,False,False,,,,
1685,19,SFTY-1-02-11,0.0,False,False,,,,
1686,19,SFTY-1-02-11,0.0,False,False,,,,
1687,15,ELEC-1-ACHEAT-02-2000,0.0,False,False,,,,
1688,15,ELEC-1-ACHEAT-02-2000,0.0,False,False,,,,
1689,16,ELEC-1-ACHEAT-02-2000,0.0,False,False,,,,
1690,17,ELEC-1-ACHEAT-02-2000,0.0,False,False,,,,
1691,17,ELEC-1-ACHEAT-02-2000,0.0,False,False,,,,
1692,18,ELEC-1-ACHEAT-02-2000,0.0,False,False,,,,
1693,18,ELEC-1-ACHEAT-02-2000,0.0,False,False,,,,
1694,19,ELEC-1-ACHEAT-02-2000,0.0,False,False,,,,
1695,19,ELEC-1-ACHEAT-02-2000,0.0,False,False,,,,
1696,12,DET-1-01-350CON,0.0,False,False,,,,
1697,15,DET-1-01-350CON,0.0,False,False,,,,
1698,15,DET-1-01-350CON,0.0,False,False,,,,
1699,16,DET-1-01-350CON,0.0,False,False,8.0,2022-04-20 16:00:00,False,8.0
1700,16,DET-1-01-350CON,0.0,False,False,8.0,2022-04-20 16:00:00,False,8.0
1701,17,DET-1-01-350CON,0.0,False,False,,,,
1702,17,DET-1-01-350CON,0.0,False,False,,,,
1703,18,DET-1-01-350CON,0.0,False,False,4.0,2022-05-04 16:00:00,False,4.0
1704,18,DET-1-01-350CON,0.0,False,False,4.0,2022-05-04 16:00:00,False,4.0
1705,19,DET-1-01-350CON,0.0,False,False,,,,
1706,19,DET-1-01-350CON,0.0,False,False,,,,
1707,12,False,0.0,False,False,,,,
1708,12,False,0.0,False,False,,,,
1709,15,False,0.0,False,False,,,,
1710,15,False,0.0,False,False,,,,
1711,15,False,0.0,False,False,,,,
1712,15,False,0.0,False,False,,,,
